"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"OSLO-Besluitvorming"	"{11B2A9A6-08C0-4f0a-9AD1-EC82A228B9C2}"	""	""	""	""	""	""	""	""	""	"https://data.vlaanderen.be/ns/"	"besluitvorming"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"ENUMERATION"	"OSLO-Besluitvorming"	"Taal"	"{43C5D95E-E101-4041-A49B-86887D01F4E7}"	""	""	""	""	"Taal"	"TODO"	""	"http://publications.europa.eu/mdr/authority/language"	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO-Besluitvorming"	"Beleidsdomein"	"{AD5591F6-64DD-4a87-8AD1-D64F14BD6C7E}"	""	""	""	""	"Beleidsdomein"	"TODO"	""	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO-Besluitvorming"	"MediaType"	"{B266A45D-415A-436e-8057-A0768268340F}"	""	""	""	""	"Mediatype"	"TODO"	""	""	"true"	"http://purl.org/dc/terms/"	"MediaType"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO-Besluitvorming"	"PublicatieType"	"{B13B0807-E0A8-4112-A2A7-A1589A0E7657}"	""	""	""	""	"Publicatietype"	"TODO"	""	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO-Besluitvorming"	"Thema"	"{97DE5B4C-BD6E-4e4c-B4ED-335582CEB349}"	""	""	""	""	"Thema"	"TODO"	""	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO-Besluitvorming"	"Bevoegdheid"	"{18078031-772B-4e09-AEAD-B6E877A86364}"	""	""	""	""	"Bevoegdheid"	"TODO"	""	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"OSLO-Besluitvorming"	"Vertrouwelijkheid"	"{78241056-89E0-4aa2-A073-40389F71C490}"	""	""	""	""	"Vertrouwelijkheid"	"TODO"	""	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Besluitvorming"	"Publicatie"	"{7C47DA43-0DE9-4fe3-ADCB-34FDDFD02B99}"	""	""	""	""	"Publicatie"	"Officiële publicatie van een tekst."	""	""	"true"	"http://data.europa.eu/eli/ontology#"	"LegalExpression"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"OSLO-Besluitvorming"	"NieuwsbriefInfo"	"{157082E3-2E08-4dd6-B04C-517ADCEBDB48}"	""	""	""	""	"Nieuwsbriefinfo"	"Verkorte samenvatting van de agendapunten en bijhorende beslissingen."	""	""	"false"	"https://data.vlaanderen.be/ns/besluitvorming#"	"NieuwsbriefInfo"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
