"EA-Type"	"EA-Package"	"EA-Name"	"EA-GUID"	"EA-Parent"	"EA-Domain"	"EA-Domain-GUID"	"EA-Range"	"ap-label-nl"	"ap-definition-nl"	"ap-usageNote-nl"	"ap-codelist"	"external term"	"namespace"	"localname"	"type"	"domain"	"range"	"parent"	"min card"	"max card"
"Package"	""	"Informatiemodel-Besluitvorming"	"{11B2A9A6-08C0-4f0a-9AD1-EC82A228B9C2}"	""	""	""	""	""	""	""	""	""	"https://data.vlaanderen.be/ns/"	"besluitvorming"	"http://www.w3.org/2002/07/owl#Ontology"	""	""	""	""	""
"ENUMERATION"	"Informatiemodel-Besluitvorming"	"Taal"	"{43C5D95E-E101-4041-A49B-86887D01F4E7}"	""	""	""	""	"Taal"	"TODO"	""	"http://publications.europa.eu/mdr/authority/language"	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"Informatiemodel-Besluitvorming"	"Beleidsdomein"	"{AD5591F6-64DD-4a87-8AD1-D64F14BD6C7E}"	""	""	""	""	"Beleidsdomein"	"TODO"	""	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"Informatiemodel-Besluitvorming"	"Zitting"	"{ADCF03E4-BF46-41af-AABC-65F7DE2A9178}"	""	""	""	""	"Zitting"	"Geformaliseerde samenkomst van de leden van een bestuursorgaan met het doel om de aangelegenheden te regelen waarvoor het bevoegd is."	""	""	"true"	"https://data.vlaanderen.be/ns/besluit#"	"Zitting"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"Informatiemodel-Besluitvorming"	"Publicatiestatus"	"{D702AF5E-0075-4c85-8B2B-7F9B2532D16C}"	""	""	""	""	"publicatiestatus"	"Status waarin de publicatie zich bevindt, bijvoorbeeld: drukproef aangevraagd."	""	""	"false"	"https://data.vlaanderen.be/ns/besluitvorming#"	"Publicatiestatus"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"Informatiemodel-Besluitvorming"	"MediaType"	"{B266A45D-415A-436e-8057-A0768268340F}"	""	""	""	""	"Mediatype"	"TODO"	""	"http://purl.org/dc/terms/MediaType"	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"CLASS"	"Informatiemodel-Besluitvorming"	"Beslissing"	"{39FEBF4B-81F9-4ebd-9977-7493129D7036}"	""	""	""	""	"Beslissing"	"Beslissing die door een orgaan werd genomen."	""	""	"false"	"https://data.vlaanderen.be/ns/besluitvorming#"	"Beslissing"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"Informatiemodel-Besluitvorming"	"PublicatieType"	"{B13B0807-E0A8-4112-A2A7-A1589A0E7657}"	""	""	""	""	"Publicatietype"	"TODO"	""	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"Informatiemodel-Besluitvorming"	"Thema"	"{97DE5B4C-BD6E-4e4c-B4ED-335582CEB349}"	""	""	""	""	"Thema"	"TODO"	""	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"Informatiemodel-Besluitvorming"	"Bevoegdheid"	"{18078031-772B-4e09-AEAD-B6E877A86364}"	""	""	""	""	"Bevoegdheid"	"TODO"	""	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
"ENUMERATION"	"Informatiemodel-Besluitvorming"	"Behandelingsstatus"	"{E9FF9751-33AD-43d7-838D-AA380BE9F7ED}"	""	""	""	""	"Behandelingsstatus"	"TODO"	""	""	"true"	"http://www.w3.org/2004/02/skos/core#"	"Concept"	"http://www.w3.org/2000/01/rdf-schema#Class"	""	""	""	""	""
